dt_pregao;ticker;vl_abertura;vl_maximo;vl_minimo;vl_fechamento;vl_volume;qt_tit_neg
2022-10-21;CSAN3;16,57;17,21;16,49;17,1;229295085,0;13546300
2022-10-20;CSAN3;16,63;17,05;16,37;16,56;220307973,0;13214300
2022-10-19;CSAN3;16,43;16,68;16,33;16,46;112358375,0;6825500
2022-10-21;DMMO3;1,79;1,82;1,79;1,8;21663057,0;12004300
2022-10-20;DMMO3;1,79;1,8;1,78;1,79;7832262,0;4370100
2022-10-19;DMMO3;1,78;1,79;1,78;1,79;3065439,0;1719000
2022-10-18;DMMO3;1,78;1,79;1,78;1,79;5572284,0;3118900
2022-10-17;DMMO3;1,76;1,8;1,76;1,78;16556474,0;9289400
2022-10-14;DMMO3;1,77;1,78;1,76;1,77;10003754,0;5661500
2022-10-13;DMMO3;1,76;1,78;1,75;1,77;11801941,0;6678200
2022-10-11;DMMO3;1,79;1,79;1,76;1,77;20481513,0;11568700
2022-10-10;DMMO3;1,8;1,8;1,78;1,79;7548210,0;4219100
2022-10-07;DMMO3;1,78;1,8;1,78;1,8;7543687,0;4211700
2022-10-06;DMMO3;1,79;1,8;1,79;1,79;9557523,0;5327100
2022-10-05;DMMO3;1,77;1,8;1,76;1,8;27432300,0;15371800
2022-10-04;DMMO3;1,76;1,78;1,75;1,77;26811154,0;15223800
2022-10-03;DMMO3;1,75;1,78;1,74;1,76;26984033,0;15332500
2022-09-30;DMMO3;1,74;1,77;1,73;1,74;23410153,0;13406700
2022-09-29;DMMO3;1,74;1,75;1,73;1,75;15359960,0;8818000
2022-09-28;DMMO3;1,74;1,76;1,73;1,75;21695983,0;12423700
2022-09-27;DMMO3;1,75;1,76;1,73;1,74;25114493,0;14406400
2022-09-26;DMMO3;1,75;1,75;1,73;1,74;24972164,0;14331700
2022-09-23;DMMO3;1,74;1,76;1,73;1,75;20196282,0;11585200
2022-09-22;DMMO3;1,77;1,77;1,74;1,75;20302636,0;11580500
2022-09-21;DMMO3;1,75;1,78;1,74;1,76;18406351,0;10460700
2022-09-20;DMMO3;1,76;1,76;1,74;1,75;7581042,0;4329400
2022-09-19;DMMO3;1,75;1,77;1,73;1,77;20799385,0;11826900
2022-09-16;DMMO3;1,7;1,77;1,69;1,76;27018830,0;15599200
2022-09-15;DMMO3;1,71;1,72;1,69;1,7;17770514,0;10431100
2022-09-14;DMMO3;1,7;1,72;1,7;1,7;20233002,0;11838900
2022-09-13;DMMO3;1,7;1,73;1,69;1,7;38667572,0;22688000
2022-09-12;DMMO3;1,73;1,74;1,69;1,71;13383882,0;7818500
2022-09-09;DMMO3;1,72;1,74;1,71;1,72;20441934,0;11877600
2022-09-08;DMMO3;1,73;1,74;1,71;1,72;15811350,0;9168900
2022-09-06;DMMO3;1,72;1,77;1,71;1,72;37615750,0;21772200
2022-09-05;DMMO3;1,69;1,74;1,67;1,74;69389341,0;40454200
2022-09-02;DMMO3;1,6800000000000002;1,72;1,63;1,6800000000000002;129558210,0;77733300
2022-09-01;DMMO3;1,6;1,75;1,6;1,74;51362544,0;30505700
2022-08-31;DMMO3;1,58;1,66;1,5699999999999998;1,61;30578986,0;18914500
2022-08-30;DMMO3;1,61;1,63;1,56;1,58;32558568,0;20490700
2022-08-29;DMMO3;1,7;1,75;1,61;1,61;41454460,0;24804600
2022-08-26;DMMO3;1,7;1,75;1,65;1,71;35577014,0;20822200
2022-08-25;DMMO3;1,58;1,72;1,56;1,69;43878942,0;26494900
2022-08-24;DMMO3;1,59;1,62;1,56;1,5699999999999998;18895651,0;11941100
2022-08-23;DMMO3;1,56;1,6;1,54;1,59;20609249,0;13057400
2022-08-22;DMMO3;1,7;1,7;1,55;1,55;65377408,0;40670000
2022-08-19;DMMO3;1,6800000000000002;1,7;1,62;1,69;22771957,0;13751100
2022-08-18;DMMO3;1,67;1,73;1,64;1,69;22215035,0;13180000
2022-08-17;DMMO3;1,63;1,7;1,61;1,67;21942840,0;13178100
2022-08-16;DMMO3;1,69;1,71;1,58;1,63;34303981,0;21045100
2022-08-15;DMMO3;1,63;1,76;1,63;1,7;38546935,0;22471400
2022-08-12;DMMO3;1,58;1,64;1,5699999999999998;1,64;13686125,0;8496200
2022-08-11;DMMO3;1,6;1,61;1,56;1,58;14385565,0;9088200
2022-08-10;DMMO3;1,58;1,62;1,56;1,6;15656616,0;9835100
2022-08-09;DMMO3;1,63;1,63;1,5699999999999998;1,58;18956349,0;11894500
2022-08-08;DMMO3;1,64;1,66;1,61;1,62;23846231,0;14596100
2022-08-05;DMMO3;1,59;1,63;1,58;1,63;14701359,0;9150800
2022-08-04;DMMO3;1,59;1,65;1,58;1,6;20598849,0;12781000
2022-08-03;DMMO3;1,5699999999999998;1,61;1,5699999999999998;1,58;8407949,0;5290600
2022-08-02;DMMO3;1,59;1,61;1,56;1,59;10753628,0;6791300
2022-08-01;DMMO3;1,54;1,6;1,53;1,59;17583399,0;11209300
