Data;Selic
2022-01-03;9,15
2022-01-04;9,15
2022-01-05;9,15
2022-01-06;9,15
2022-01-07;9,15
2022-01-10;9,15
2022-01-11;9,15
2022-01-12;9,15
2022-01-13;9,15
2022-01-14;9,15
2022-01-17;9,15
2022-01-18;9,15
2022-01-19;9,15
2022-01-20;9,15
2022-01-21;9,15
2022-01-24;9,15
2022-01-25;9,15
2022-01-26;9,15
2022-01-27;9,15
2022-01-28;9,15
2022-01-31;9,15
2022-02-01;9,15
2022-02-02;9,15
2022-02-03;10,65
2022-02-04;10,65
2022-02-07;10,65
2022-02-08;10,65
2022-02-09;10,65
2022-02-10;10,65
2022-02-11;10,65
2022-02-14;10,65
2022-02-15;10,65
2022-02-16;10,65
2022-02-17;10,65
2022-02-18;10,65
2022-02-21;10,65
2022-02-22;10,65
2022-02-23;10,65
2022-02-24;10,65
2022-02-25;10,65
2022-03-02;10,65
2022-03-03;10,65
2022-03-04;10,65
2022-03-07;10,65
2022-03-08;10,65
2022-03-09;10,65
2022-03-10;10,65
2022-03-11;10,65
2022-03-14;10,65
2022-03-15;10,65
2022-03-16;10,65
2022-03-17;11,65
2022-03-18;11,65
2022-03-21;11,65
2022-03-22;11,65
2022-03-23;11,65
2022-03-24;11,65
2022-03-25;11,65
2022-03-28;11,65
2022-03-29;11,65
2022-03-30;11,65
2022-03-31;11,65
2022-04-01;11,65
2022-04-04;11,65
2022-04-05;11,65
2022-04-06;11,65
2022-04-07;11,65
2022-04-08;11,65
2022-04-11;11,65
2022-04-12;11,65
2022-04-13;11,65
2022-04-14;11,65
2022-04-18;11,65
2022-04-19;11,65
2022-04-20;11,65
2022-04-22;11,65
2022-04-25;11,65
2022-04-26;11,65
2022-04-27;11,65
2022-04-28;11,65
2022-04-29;11,65
2022-05-02;11,65
2022-05-03;11,65
2022-05-04;11,65
2022-05-05;12,65
2022-05-06;12,65
2022-05-09;12,65
2022-05-10;12,65
2022-05-11;12,65
2022-05-12;12,65
2022-05-13;12,65
2022-05-16;12,65
2022-05-17;12,65
2022-05-18;12,65
2022-05-19;12,65
2022-05-20;12,65
2022-05-23;12,65
2022-05-24;12,65
2022-05-25;12,65
2022-05-26;12,65
2022-05-27;12,65
2022-05-30;12,65
2022-05-31;12,65
2022-06-01;12,65
2022-06-02;12,65
2022-06-03;12,65
2022-06-06;12,65
2022-06-07;12,65
2022-06-08;12,65
2022-06-09;12,65
2022-06-10;12,65
2022-06-13;12,65
2022-06-14;12,65
2022-06-15;12,65
2022-06-17;13,15
2022-06-20;13,15
2022-06-21;13,15
2022-06-22;13,15
2022-06-23;13,15
2022-06-24;13,15
2022-06-27;13,15
2022-06-28;13,15
2022-06-29;13,15
2022-06-30;13,15
2022-07-01;13,15
2022-07-04;13,15
2022-07-05;13,15
2022-07-06;13,15
2022-07-07;13,15
2022-07-08;13,15
2022-07-11;13,15
2022-07-12;13,15
2022-07-13;13,15
2022-07-14;13,15
2022-07-15;13,15
2022-07-18;13,15
2022-07-19;13,15
2022-07-20;13,15
2022-07-21;13,15
2022-07-22;13,15
2022-07-25;13,15
2022-07-26;13,15
2022-07-27;13,15
2022-07-28;13,15
2022-07-29;13,15
2022-08-01;13,15
2022-08-02;13,15
2022-08-03;13,15
2022-08-04;13,65
2022-08-05;13,65
2022-08-08;13,65
2022-08-09;13,65
2022-08-10;13,65
2022-08-11;13,65
2022-08-12;13,65
2022-08-15;13,65
2022-08-16;13,65
2022-08-17;13,65
2022-08-18;13,65
2022-08-19;13,65
2022-08-22;13,65
2022-08-23;13,65
2022-08-24;13,65
2022-08-25;13,65
2022-08-26;13,65
2022-08-29;13,65
2022-08-30;13,65
2022-08-31;13,65
2022-09-01;13,65
2022-09-02;13,65
2022-09-05;13,65
2022-09-06;13,65
2022-09-08;13,65
2022-09-09;13,65
2022-09-12;13,65
2022-09-13;13,65
2022-09-14;13,65
2022-09-15;13,65
2022-09-16;13,65
2022-09-19;13,65
2022-09-20;13,65
2022-09-21;13,65
2022-09-22;13,65
2022-09-23;13,65
2022-09-26;13,65
2022-09-27;13,65
2022-09-28;13,65
2022-09-29;13,65
2022-09-30;13,65
2022-10-03;13,65
2022-10-04;13,65
2022-10-05;13,65
2022-10-06;13,65
2022-10-07;13,65
2022-10-10;13,65
2022-10-11;13,65
2022-10-13;13,65
2022-10-14;13,65
2022-10-17;13,65
2022-10-18;13,65
2022-10-19;13,65
2022-10-20;13,65
2022-10-21;13,65
