ticker;nm_empresa;cnpj;setor_economico;subsetor;segmento;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral;nivel_atividade;empresa_porte;saude_tributaria;optante_simples;optante_simei
CSAN3;COSAN;50746577000115;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;1966-07-08;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
DMMO11, DMMO3;DOMMO;8926302000105;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;2007-07-09;True;600001,0;EXTRACAO DE PETROLEO E GAS NATURAL;MINERACAO;INDUSTRIA;22290160,0;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
ENAT3;ENAUTA PART;11669021000110;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;2010-03-11;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;20031918,0;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA;ALTO;GRANDE;CINZA;False;False
RPMG3;PET MANGUINH;33412081000196;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;1969-07-30;True;1921700,0;FABRICACAO DE PRODUTOS DO REFINO DE PETROLEO;QUIMICA-PETROQUIMICA;INDUSTRIA;20930041,0;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA;ALTO;GRANDE;VERDE;False;False
PETR4, PETR3;PETROBRAS;33000167000101;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;1966-09-28;True;1921700,0;FABRICACAO DE PRODUTOS DO REFINO DE PETROLEO;QUIMICA-PETROQUIMICA;INDUSTRIA;20031170,0;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA;ALTO;GRANDE;VERDE;False;False
BRDT3;PETROBRAS BR;34274233000102;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;1972-05-12;True;4681801,0;COMERCIO ATACADISTA DE ALCOOL CARBURANTE BIODIESEL GASOLINA E DEMAIS DERIVADOS DE PETROLEO EXCETO LUBRIFICANTES NAO REALIZADO POR TRANSPORTADOR RETALHISTA T R R;ATACADO;COMERCIO;20211140,0;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA;ALTO;GRANDE;AMARELA;False;False
PRIO3;PETRORIO;10629105000168;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;2009-02-11;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;22250040,0;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA;ALTO;GRANDE;CINZA;False;False
UGPA3;ULTRAPAR;33256439000139;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;1953-12-11;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;1317910,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
LUPA3;LUPATECH;89463822000112;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;1984-03-29;True;2813500,0;FABRICACAO DE VALVULAS REGISTROS E DISPOSITIVOS SEMELHANTES PECAS E ACESSORIOS;SIDERURGICA-METALURGIA;INDUSTRIA;13388220,0;NOVA ODESSA;SP;SUDESTE;CAMPINAS;ATIVA;ALTO;GRANDE;CINZA;False;False
OSXB3;OSX BRASIL;9112685000132;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;2007-10-03;True;6463800,0;OUTRAS SOCIEDADES DE PARTICIPACAO EXCETO HOLDINGS;BENS DE CAPITAL;SERVICOS;22290906,0;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA;BAIXO;GRANDE;CINZA;False;False
