Data e hora da cotação;Cotação de compra;Cotação de venda
04/01/2010 17:37:00;1,7232;1,724
05/01/2010 17:35:00;1,7219;1,7227
06/01/2010 17:34:00;1,7329;1,7337
07/01/2010 17:37:00;1,7405;1,7413
08/01/2010 17:33:00;1,7382;1,739
11/01/2010 17:36:00;1,7315;1,7323
12/01/2010 17:37:00;1,7431;1,7439
13/01/2010 17:34:00;1,7434;1,7442
14/01/2010 17:42:00;1,764;1,7648
15/01/2010 17:40:00;1,7703;1,7711
18/01/2010 17:33:00;1,7713;1,7721
19/01/2010 17:36:00;1,7739;1,7747
20/01/2010 17:32:00;1,7846;1,7854
21/01/2010 17:38:00;1,7895;1,7903
22/01/2010 17:32:00;1,8179;1,8187
25/01/2010 17:33:00;1,8186;1,8194
26/01/2010 17:35:00;1,8359;1,8367
27/01/2010 17:36:00;1,8505;1,8513
28/01/2010 17:35:00;1,8552;1,856
29/01/2010 17:34:00;1,874;1,8748
01/02/2010 17:33:00;1,8765;1,8773
02/02/2010 17:32:00;1,8355;1,8363
03/02/2010 17:35:00;1,8329;1,8337
04/02/2010 17:33:00;1,8707;1,8715
05/02/2010 17:35:00;1,8745;1,8753
08/02/2010 17:33:00;1,8722;1,873
09/02/2010 17:38:00;1,8542;1,855
10/02/2010 17:32:00;1,8475;1,8483
11/02/2010 17:51:00;1,8508;1,8516
12/02/2010 17:35:00;1,8662;1,867
17/02/2010 17:36:00;1,8305;1,8313
18/02/2010 17:36:00;1,8258;1,8266
19/02/2010 17:32:00;1,8108;1,8116
22/02/2010 17:37:00;1,8038;1,8046
23/02/2010 17:33:00;1,8178;1,8186
24/02/2010 17:38:00;1,8195;1,8203
25/02/2010 17:35:00;1,8356;1,8364
26/02/2010 17:35:00;1,8102;1,811
01/03/2010 17:34:00;1,7992;1,8
02/03/2010 17:35:00;1,7843;1,7851
03/03/2010 17:32:00;1,7838;1,7846
04/03/2010 17:37:00;1,788;1,7888
05/03/2010 17:32:00;1,7816;1,7824
08/03/2010 17:33:00;1,7818;1,7826
09/03/2010 17:39:00;1,7891;1,7899
10/03/2010 17:34:00;1,7708;1,7716
11/03/2010 17:37:00;1,7685;1,7693
12/03/2010 17:38:00;1,7629;1,7637
15/03/2010 17:41:00;1,7636;1,7644
16/03/2010 17:46:00;1,7658;1,7666
17/03/2010 17:34:00;1,7632;1,764
18/03/2010 17:34:00;1,784;1,7848
19/03/2010 17:37:00;1,7946;1,7954
22/03/2010 17:37:00;1,8022;1,803
23/03/2010 17:41:00;1,7805;1,7813
24/03/2010 17:38:00;1,7896;1,7904
25/03/2010 17:59:00;1,8;1,8008
26/03/2010 17:35:00;1,8223;1,8231
29/03/2010 17:37:45;1,8056;1,8064
30/03/2010 17:39:07;1,7944;1,7952
31/03/2010 17:36:22;1,7802;1,781
01/04/2010 17:38:57;1,7693;1,7701
05/04/2010 17:36:54;1,7565;1,7573
06/04/2010 17:34:50;1,7597;1,7605
07/04/2010 17:37:15;1,7654;1,7662
08/04/2010 17:37:49;1,7798;1,7806
09/04/2010 17:40:13;1,7722;1,773
12/04/2010 17:34:43;1,76;1,7608
13/04/2010 17:35:21;1,7576;1,7584
14/04/2010 17:35:09;1,7438;1,7446
15/04/2010 17:33:04;1,7475;1,7483
16/04/2010 17:39:59;1,755;1,7558
19/04/2010 17:38:12;1,758;1,7588
20/04/2010 18:02:45;1,7489;1,7497
22/04/2010 17:35:13;1,7618;1,7626
23/04/2010 17:41:46;1,7616;1,7624
26/04/2010 17:36:47;1,7438;1,7446
27/04/2010 17:41:18;1,7584;1,7592
28/04/2010 17:50:04;1,755;1,7558
29/04/2010 17:37:25;1,7313;1,7321
30/04/2010 17:35:28;1,7298;1,7306
03/05/2010 17:45:35;1,7307;1,7315
04/05/2010 17:39:51;1,7549;1,7557
05/05/2010 17:41:30;1,7854;1,7862
06/05/2010 17:39:35;1,8345;1,8353
07/05/2010 17:34:43;1,8335;1,8343
10/05/2010 17:34:11;1,7825;1,7833
11/05/2010 17:34:42;1,7835;1,7843
12/05/2010 17:45:50;1,7715;1,7723
13/05/2010 17:36:16;1,7729;1,7737
14/05/2010 17:34:59;1,7959;1,7967
17/05/2010 17:35:49;1,8037;1,8045
18/05/2010 17:34:35;1,7913;1,7921
19/05/2010 17:47:48;1,8358;1,8366
20/05/2010 17:32:23;1,8669;1,8677
21/05/2010 17:33:27;1,8702;1,871
24/05/2010 17:32:33;1,8514;1,8522
25/05/2010 17:31:26;1,8803;1,8811
26/05/2010 17:34:26;1,8453;1,8461
27/05/2010 17:35:37;1,832;1,8328
28/05/2010 17:34:49;1,8221;1,8229
31/05/2010 17:35:43;1,8159;1,8167
01/06/2010 17:41:44;1,8247;1,8255
02/06/2010 17:32:50;1,8354;1,8362
04/06/2010 17:32:40;1,8393;1,8401
07/06/2010 17:32:06;1,8626;1,8634
08/06/2010 17:32:07;1,865;1,8658
09/06/2010 17:33:40;1,8415;1,8423
10/06/2010 17:35:29;1,8177;1,8185
11/06/2010 17:37:09;1,8117;1,8125
14/06/2010 17:40:21;1,8022;1,803
15/06/2010 14:03:33;1,7963;1,7971
16/06/2010 17:41:16;1,7885;1,7893
17/06/2010 17:40:51;1,7809;1,7817
18/06/2010 17:38:16;1,7753;1,7761
21/06/2010 17:37:45;1,7655;1,7663
22/06/2010 17:37:14;1,7672;1,768
23/06/2010 17:31:19;1,79;1,7908
24/06/2010 17:36:05;1,7899;1,7907
25/06/2010 17:46:09;1,7773;1,7781
28/06/2010 14:04:21;1,7818;1,7826
29/06/2010 17:38:36;1,8068;1,8076
30/06/2010 17:35:11;1,8007;1,8015
01/07/2010 17:36:13;1,7998;1,8006
02/07/2010 17:46:02;1,7777;1,7785
05/07/2010 17:40:52;1,7747;1,7755
06/07/2010 17:36:08;1,7657;1,7665
07/07/2010 17:39:15;1,7711;1,7719
08/07/2010 17:35:45;1,7644;1,7652
09/07/2010 17:36:29;1,7564;1,7572
12/07/2010 17:36:54;1,7636;1,7644
13/07/2010 17:38:05;1,7517;1,7525
14/07/2010 17:35:39;1,7649;1,7657
15/07/2010 17:44:56;1,7682;1,769
16/07/2010 17:36:32;1,7784;1,7792
19/07/2010 17:36:16;1,7846;1,7854
20/07/2010 17:45:54;1,7792;1,78
21/07/2010 17:58:06;1,7758;1,7766
22/07/2010 17:36:45;1,7621;1,7629
23/07/2010 17:37:29;1,7609;1,7617
26/07/2010 17:35:33;1,7661;1,7669
27/07/2010 17:38:00;1,765;1,7658
28/07/2010 17:35:50;1,7642;1,765
29/07/2010 17:42:43;1,7635;1,7643
30/07/2010 17:35:34;1,7564;1,7572
02/08/2010 17:45:04;1,7481;1,7489
03/08/2010 17:37:18;1,7586;1,7594
04/08/2010 17:37:19;1,7555;1,7563
05/08/2010 17:41:52;1,7527;1,7535
06/08/2010 17:37:14;1,7558;1,7566
09/08/2010 17:37:03;1,7529;1,7537
10/08/2010 17:36:42;1,7568;1,7576
11/08/2010 17:37:24;1,7655;1,7663
12/08/2010 17:47:29;1,7723;1,7731
13/08/2010 17:38:07;1,7708;1,7716
16/08/2010 17:38:46;1,7631;1,7639
17/08/2010 17:36:30;1,752;1,7528
18/08/2010 17:37:46;1,7505;1,7513
19/08/2010 18:04:30;1,7576;1,7584
20/08/2010 17:35:22;1,7589;1,7597
23/08/2010 17:36:25;1,7579;1,7587
24/08/2010 17:43:04;1,7719;1,7727
25/08/2010 17:37:44;1,766;1,7668
26/08/2010 17:38:36;1,7588;1,7596
27/08/2010 17:38:40;1,7536;1,7544
30/08/2010 17:36:05;1,7583;1,7591
31/08/2010 17:41:01;1,7552;1,756
01/09/2010 17:40:31;1,7433;1,7441
02/09/2010 17:38:35;1,7359;1,7367
03/09/2010 17:39:26;1,7273;1,7281
06/09/2010 17:36:34;1,7251;1,7259
08/09/2010 17:37:47;1,7223;1,7231
09/09/2010 17:36:18;1,723;1,7238
10/09/2010 17:38:07;1,7178;1,7186
13/09/2010 17:36:29;1,7166;1,7174
14/09/2010 17:36:15;1,7068;1,7076
15/09/2010 17:38:27;1,7161;1,7169
16/09/2010 17:42:13;1,7176;1,7184
17/09/2010 17:36:24;1,7158;1,7166
20/09/2010 17:45:57;1,7208;1,7216
21/09/2010 17:38:23;1,7247;1,7255
22/09/2010 17:53:23;1,7176;1,7184
23/09/2010 17:38:57;1,7186;1,7194
24/09/2010 17:37:59;1,7112;1,712
27/09/2010 17:43:35;1,7092;1,71
28/09/2010 17:38:56;1,7085;1,7093
29/09/2010 17:38:30;1,7045;1,7053
30/09/2010 17:39:48;1,6934;1,6942
01/10/2010 17:38:31;1,6804;1,6812
04/10/2010 17:43:03;1,6874;1,6882
05/10/2010 17:45:34;1,68;1,6808
06/10/2010 17:39:53;1,675;1,6758
07/10/2010 17:40:39;1,6769;1,6777
08/10/2010 17:41:44;1,6796;1,6804
11/10/2010 17:39:02;1,664;1,6648
13/10/2010 17:37:34;1,6546;1,6554
14/10/2010 17:37:53;1,6588;1,6596
15/10/2010 17:37:42;1,6596;1,6604
18/10/2010 17:36:47;1,6678;1,6686
19/10/2010 17:38:08;1,686;1,6868
20/10/2010 17:36:53;1,6727;1,6735
21/10/2010 17:38:39;1,6889;1,6897
22/10/2010 17:48:29;1,6989;1,6997
25/10/2010 17:37:34;1,7018;1,7026
26/10/2010 17:35:57;1,7037;1,7045
27/10/2010 17:37:54;1,7069;1,7077
28/10/2010 17:35:51;1,7104;1,7112
29/10/2010 17:36:14;1,7006;1,7014
01/11/2010 17:35:29;1,7036;1,7044
03/11/2010 17:43:04;1,6929;1,6937
04/11/2010 17:38:06;1,6811;1,6819
05/11/2010 17:42:28;1,6793;1,6801
08/11/2010 17:51:35;1,6962;1,697
09/11/2010 17:36:30;1,6962;1,697
